reads,cache_misses
100000,2
101000,0
102000,0
103000,1
104000,2
105000,0
106000,0
107000,1
108000,0
109000,12
110000,0
111000,1
112000,0
113000,0
114000,0
115000,9
116000,3
117000,2
118000,3
119000,7
120000,1
121000,0
122000,0
123000,3
124000,0
125000,0
126000,0
127000,0
128000,0
129000,1
130000,2
131000,0
132000,1
133000,1
134000,1
135000,10
136000,0
137000,2
138000,1
139000,0
140000,3
141000,3
142000,6
143000,2
144000,0
145000,1
146000,12
147000,3
148000,1
149000,0
150000,0
151000,0
152000,13
153000,0
154000,16
155000,116
156000,10
157000,2
158000,127
159000,8
160000,3
161000,7
162000,6
163000,7
164000,42
165000,160
166000,56
167000,6
168000,1
169000,23
170000,40
171000,3
172000,45
173000,109
174000,35
175000,4
176000,27
177000,5
178000,24
179000,4
180000,18
181000,331
182000,1336
183000,183
184000,192
185000,13
186000,655
187000,1174
188000,100
189000,1844
190000,1223
191000,217
192000,138
193000,49
194000,69
195000,415
196000,184
197000,213
198000,8
199000,222
200000,132
201000,21
202000,367
203000,96
204000,786
205000,290
206000,109
207000,846
208000,1379
209000,77
210000,216
211000,124
212000,652
213000,168
214000,383
215000,443
216000,146
217000,56
218000,418
219000,273
220000,64
221000,141
222000,135
223000,280
224000,961
225000,812
226000,472
227000,469
228000,82
229000,69
230000,33
231000,88
232000,184
233000,205
234000,391
235000,179
236000,417
237000,134
238000,148
239000,242
240000,556
241000,236
242000,807
243000,803
244000,636
245000,156
246000,223
247000,349
248000,107
249000,669
250000,178
251000,92
252000,159
253000,246
254000,1162
255000,679
256000,124
257000,504
258000,655
259000,143
260000,188
261000,116
262000,299
263000,164
264000,547
265000,1055
266000,605
267000,501
268000,628
269000,529
270000,233
271000,413
272000,205
273000,1040
274000,876
275000,434
276000,927
277000,514
278000,561
279000,602
280000,502
281000,279
282000,207
283000,352
284000,517
285000,426
286000,456
287000,1249
288000,748
289000,1144
290000,1244
291000,1728
292000,1007
293000,1262
294000,1107
295000,514
296000,22
297000,1740
298000,578
299000,998
300000,1544
301000,681
302000,1313
303000,282
304000,1177
305000,1756
306000,1704
307000,1069
308000,972
309000,1786
310000,141
311000,1404
312000,1417
313000,1036
314000,1560
315000,1521
316000,624
317000,1287
318000,455
319000,1356
320000,273
321000,1507
322000,1256
323000,1769
324000,1835
325000,1184
326000,1494
327000,400
328000,988
329000,1188
330000,723
331000,1036
332000,1312
333000,1331
334000,1226
335000,1009
336000,763
337000,1564
338000,1511
339000,944
340000,1383
341000,999
342000,1360
343000,961
344000,722
345000,1677
346000,1863
347000,97
348000,1667
349000,1347
350000,1262
351000,1213
352000,1582
353000,1122
354000,110
355000,1566
356000,1758
357000,1660
358000,706
359000,1416
360000,1292
361000,1105
362000,1488
363000,1117
364000,978
365000,1850
366000,1495
367000,761
368000,1395
369000,858
370000,619
371000,1108
372000,1463
373000,68
374000,1365
375000,814
376000,1228
377000,100
378000,1584
379000,849
380000,1800
381000,1188
382000,1867
383000,1465
384000,1259
385000,1415
386000,1261
387000,1662
388000,1602
389000,1113
390000,1411
391000,1800
392000,193
393000,1764
394000,1825
395000,1104
396000,1275
397000,1816
398000,1381
399000,1492
400000,1592
401000,1461
402000,1480
403000,1342
404000,171
405000,1306
406000,1695
407000,1973
408000,1838
409000,192
410000,1734
411000,944
412000,1461
413000,1217
414000,1783
415000,1113
416000,1135
417000,1467
418000,1122
419000,1701
420000,1764
421000,1767
422000,1223
423000,139
424000,238
425000,1161
426000,1598
427000,1770
428000,1549
429000,1531
430000,1005
431000,872
432000,1657
433000,1929
434000,141
435000,1573
436000,1685
437000,1608
438000,1436
439000,1717
440000,1588
441000,1174
442000,1501
443000,1408
444000,959
445000,1924
446000,1534
447000,1520
448000,1743
449000,1773
450000,978
451000,1433
452000,1672
453000,1888
454000,1426
455000,1153
456000,1760
457000,1678
458000,1797
459000,1429
460000,1520
461000,1059
462000,1715
463000,1623
464000,1838
465000,1743
466000,1901
467000,1442
468000,1758
469000,1562
470000,1896
471000,1833
472000,1900
473000,1537
474000,1943
475000,175
476000,211
477000,1667
478000,1902
479000,1672
480000,1678
481000,1783
482000,1147
483000,1363
484000,1763
485000,1732
486000,1630
487000,1563
488000,1846
489000,1762
490000,1963
491000,1575
492000,1780
493000,1843
494000,1770
495000,1803
496000,1417
497000,1970
498000,1424
499000,1662
500000,1927
